"quantity","estimate","std_error"
"entry_rate",0.0260252689527082,0.000537342183725632
"exit_rate",0.0219182940516198,0.000573069567122258
"initial_employment",0.475999428461736,0.000967597301007104
"steady_employment",0.542831348399342,0.00622397387742964
"stationarity_gap",-0.0668319199376062,0.00645608674116834
"delta0",-3.04626560013145,0.0144063088107149
"delta_age",1.35201380411344,0.0561297982986533
"delta_education",1.05230004262763,0.0339426892540141
"delta_age_severe",1.41202057384643,0.0609071089809823
"delta_education_severe",0.109925459523709,0.041323335251546
"pi_base",0.0226894861370718,0.000312038640272922
"pi_age_mild",0.0776087527951211,0.00364972743669378
"pi_age_severe",0.214953423657472,0.003259590327169
"age_severity_effect",0.137344670862351,0.00481331095580149
"pi_education_mild",0.0599189785472657,0.00176292630644484
"pi_education_severe",0.0659627541899531,0.00152256382635386
"education_severity_effect",0.00604377564268736,0.00225240003936679
"pi_both_mild",0.172402738115922,0.00704789141503785
"pi_both_age_severe",0.341767890397477,0.0043998535464902
"pi_both_education_severe",0.185022205642002,0.00698191993731887
"pi_both_both_severe",0.35341051788172,0.00352584783834896
"mean_pi_survey_weighted",0.0336362627381929,0.000325897039786599
