"quantity","estimate_stationary","std_error_stationary","estimate_free","std_error_free"
"entry_rate",0.0228156668723385,0.000454593733907076,0.0257541935716884,0.000535827864910249
"exit_rate",0.0247886945785832,0.000492803565930391,0.0214745137929652,0.000571613779011031
"initial_employment",0.479276817857553,0.000919333895453972,0.47600987273391,0.000967200410913302
"steady_employment",0.479276817857553,0.000919333895453972,0.545308034218255,0.00629039678865069
"stationarity_gap",0,0,-0.0692981614843448,0.00652066134068612
"delta0",-3.07116218822016,0.0150082868700117,-3.07064860025612,0.0149992981394589
"delta_age",1.13975731857483,0.0587104894540855,1.13919345599808,0.0586431555118576
"delta_education",1.01800423108952,0.0352087136641507,1.01774279380269,0.0351513676265891
"delta_race",0.09346706242964,0.0883112497256776,0.101518691930709,0.0884908627127081
"delta_gender",1.5232700708268,0.0428423360128439,1.52568971833075,0.0428095020185399
"delta_two_inconsistencies",0.10494189988997,0.0531500687114834,0.103556991453416,0.0530956534865742
"delta_three_inconsistencies",-0.558421421126767,0.105224353960673,-0.558784570932624,0.105379651528158
"delta_four_inconsistencies",-0.341650610353517,0.733439038286389,-0.342532210564434,0.741370083098266
"delta_age_severe",1.2154249116575,0.0613368397207958,1.21914618619872,0.0612678340320177
"delta_education_severe",0.112726787373164,0.0411125606535035,0.115036475489857,0.0410442765880855
"pi_base",0.0221562920155669,0.000317792812236641,0.022167169523985,0.000317751172259497
"pi_age_mild",0.0632975819139984,0.00318223312541019,0.0632948025636637,0.00317866080895947
"pi_age_severe",0.164139418540339,0.00367337100216051,0.164544422874021,0.00367154800040922
"age_severity_effect",0.10084183662634,0.00442613580756139,0.101249620310357,0.00442330139925817
"pi_education_mild",0.0568668379943292,0.00171624251842083,0.0568795474153239,0.00171352722049066
"pi_education_severe",0.0628002478236046,0.00153365569369643,0.0629410597935979,0.00153387490667758
"education_severity_effect",0.00593340982927542,0.00214647850274176,0.00606151237827404,0.00214494592133199
"pi_race",0.0242218829594249,0.00202003316796407,0.0244200635217032,0.00203987320195626
"race_effect",0.00206559094385793,0.00203199390647285,0.00225289399771817,0.00205167779329724
"pi_gender",0.0876954602175949,0.00297420109402558,0.0879077776006614,0.00297754163266335
"gender_effect",0.0655391682020279,0.00297023460841655,0.0657406080766764,0.00297355020342306
"pi_both_mild",0.154109513177934,0.00747314045761188,0.153928695312374,0.00745903612262133
"pi_both_age_severe",0.300180100717918,0.00606110885374766,0.300422936736905,0.00605356134211849
"pi_both_education_severe",0.166379593748029,0.00747261013687004,0.166447660600976,0.00746445447891326
"pi_both_both_severe",0.313537983687485,0.00512148713838785,0.314044500566654,0.00511369523723646
"pi_count_0",0.0221562920155669,0.000317792812236641,0.022167169523985,0.00031775117225865
"pi_count_1",0.0738914013795637,0.00108626672317676,0.0740272737908492,0.00108602219669035
"pi_count_2",0.288628642676543,0.00406389237937727,0.289039314086644,0.00406066543710118
"pi_count_3",0.377378364146663,0.00735823111159449,0.378012898315246,0.00735423401444347
"pi_count_4",0.411457241411144,0.0513461368760506,0.412468951784328,0.0514404915063484
"min_pi_survey_weighted",0.0221562920155669,0.000317792812236641,0.022167169523985,0.000317751172259497
"median_pi_survey_weighted",0.0221562920155669,0.000317792812236641,0.022167169523985,0.000317751172259497
"max_pi_survey_weighted",0.422101399658155,0.0477219726986267,0.423102852078178,0.0477414018213835
"mean_pi_survey_weighted",0.0337755996611122,0.000326684420278816,0.0338091562711736,0.000326666895121446
